,,,5月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理会社,客先名称,運搬業者,品名,,1(金),2(土),3(日),4(月),5(火),6(水),7(木),8(金),9(土),10(日),11(月),12(火),13(水),14(木),15(金),16(土),17(日),18(月),19(火),20(水),21(木),22(金),23(土),24(日),25(月),26(火),27(水),28(木),29(金),30(土),31(日),合計,,,,
,その他合計（バラ+プレス、プラ除く,,,,"17,920","1,020",360,220,460,"2,520","9,680","20,930","1,060",290,"13,740","8,990","26,710","11,400","11,200","1,130",390,"8,330","23,010","13,440","6,890","16,390","1,110",310,"13,400","13,900","20,530","24,160","12,520",980,340,"283,330",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,その他合計（プラ+その他,,,,"18,010","1,050",360,250,530,"2,560","10,440","21,010","1,100",290,"13,790","9,130","27,070","11,490","11,270","1,170",390,"8,420","23,150","13,490","6,980","16,520","1,160",310,"14,250","13,980","20,970","24,210","14,130","1,040",340,"288,860",,その他合計,,"283,330"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,入荷合計（横持除く,,,,"66,700","32,660","9,750","20,370","25,520","36,880","50,050","81,950","19,150","5,910","62,810","65,320","86,080","67,740","44,380","18,510","7,580","64,160","74,360","66,400","53,200","63,140","17,940","6,240","45,630","63,450","88,870","75,640","60,080","4,830","5,520","1,403,810",,入荷合計,,"1,403,810"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,番線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
事業所間横持ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,＜参考＞事業所間横持ち,,
,御殿場事業所,,輸出ﾀﾞﾝﾎﾞｰﾙ,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,御殿場事業所,,輸出雑誌,引取,,,,,,,,,,,,,"14,100",,,,,,,,,,,,,,,,,,,"14,100",,御殿場→厚木,ﾀﾞﾝﾎﾞｰﾙ,0
